date,dogs_small,dogs_medium,dogs_large,cats,equine_vaccine_visits,puppies,adult_new_animals,resident_adults,quarantine_animals,cleaning_runs,outbreak_alert,feed_kg_consumed,vaccine_doses_used,bleach_liters_used
2025-07-21,70,90,55,60,0,5,0,270,13,16,0,69.76,2,29.24
2025-07-22,70,90,55,60,0,1,4,274,16,16,0,66.6,0,28.32
2025-07-23,70,90,55,60,0,0,4,275,11,15,0,65.26,0,26.39
2025-07-24,70,90,55,60,0,3,6,272,15,16,0,63.62,2,28.36
2025-07-25,70,90,55,60,0,0,1,275,6,15,0,62.8,1,26.15
2025-07-26,70,90,55,60,0,1,3,274,9,15,0,65.65,2,24.67
2025-07-27,70,90,55,60,0,0,5,275,13,16,0,65.26,0,28.4
2025-07-28,70,90,55,59,0,0,1,274,8,15,0,69.1,1,26.83
2025-07-29,70,90,55,57,0,0,3,272,9,15,0,63.06,0,26.23
2025-07-30,70,90,55,57,0,1,4,271,12,15,0,69.41,3,26.95
2025-07-31,70,90,55,59,0,2,3,272,17,16,0,68.3,3,29.92
2025-08-01,70,90,55,57,0,1,3,271,11,15,0,69.26,3,28.08
2025-08-02,70,90,55,56,0,0,3,271,10,15,0,70.32,1,24.75
2025-08-03,70,90,55,59,0,2,7,272,13,16,0,62.39,2,28.61
2025-08-04,70,90,55,58,0,2,5,271,15,16,0,69.77,1,28.49
2025-08-05,70,90,55,58,0,0,4,273,9,15,0,66.06,1,25.81
2025-08-06,70,90,55,59,0,0,7,274,14,16,0,63.38,1,28.95
2025-08-07,70,90,55,60,0,1,2,274,11,15,0,65.95,1,26.47
2025-08-08,70,90,55,60,0,2,7,273,15,16,0,68.32,1,29.61
2025-08-09,70,90,55,60,0,1,4,274,15,16,0,66.96,3,28.75
2025-08-10,69,89,55,60,0,0,2,273,10,15,0,64.83,0,28.21
2025-08-11,67,87,54,60,0,1,0,267,5,15,0,65.89,2,26.48
2025-08-12,67,87,54,58,0,1,2,265,9,15,0,57.94,2,27.73
2025-08-13,69,90,55,57,0,1,7,270,12,15,0,69.26,4,26.15
2025-08-14,70,90,55,60,1,4,8,271,17,16,0,66.51,5,28.52
2025-08-15,69,89,55,60,0,1,4,272,11,15,0,69.45,3,26.17
2025-08-16,70,90,55,60,0,1,6,274,13,16,0,70.76,1,28.99
2025-08-17,70,90,55,60,0,1,0,274,9,15,0,63.08,1,26.94
2025-08-18,70,90,55,60,0,1,5,274,15,16,0,67.41,0,29.36
2025-08-19,70,90,55,57,0,1,4,271,12,15,0,63.14,2,26.05
2025-08-20,70,90,55,58,0,0,7,273,11,15,0,66.28,3,25.43
2025-08-21,70,90,55,60,0,1,9,274,18,16,0,69.34,3,28.98
2025-08-22,69,89,55,59,0,2,0,270,6,15,0,63.82,2,25.79
2025-08-23,69,89,55,60,0,0,4,273,10,15,0,66.83,0,27.9
2025-08-24,69,89,55,59,0,0,3,272,11,15,0,67.04,1,27.28
2025-08-25,69,89,55,60,0,0,4,273,9,15,0,64.39,1,26.15
2025-08-26,69,89,55,60,0,2,1,271,19,17,1,60.56,7,34.95
2025-08-27,70,90,55,59,1,0,5,274,15,17,1,68.16,7,35.08
2025-08-28,70,90,55,60,0,1,3,274,22,17,1,62.68,3,36.45
2025-08-29,70,90,55,60,1,2,4,273,20,17,1,65.89,6,36.21
2025-08-30,70,90,55,60,0,0,3,275,8,15,0,68.3,1,25.33
2025-08-31,70,90,55,60,0,1,4,274,15,16,0,62.88,3,28.42
2025-09-01,70,90,55,60,1,0,7,275,13,16,0,65.03,3,28.94
2025-09-02,70,90,55,60,0,2,2,273,8,15,0,65.82,2,25.87
2025-09-03,69,89,55,58,0,2,2,269,14,16,0,64.74,2,27.82
2025-09-04,69,89,55,58,0,1,2,270,12,15,0,64.34,3,27.49
2025-09-05,69,89,55,57,0,2,3,268,7,15,0,61.65,15,26.66
2025-09-06,69,89,55,58,1,0,3,271,11,15,0,65.73,20,26.76
2025-09-07,70,90,55,58,0,0,2,273,12,15,0,68.71,13,26.22
2025-09-08,70,90,55,57,0,0,4,272,12,15,0,71.83,12,27.11
2025-09-09,70,90,55,58,0,2,2,271,12,15,0,62.32,10,27.06
2025-09-10,69,88,54,57,0,0,2,268,9,15,0,66.71,19,25.93
2025-09-11,69,88,54,58,0,0,4,269,12,15,0,64.46,15,26.36
2025-09-12,69,88,54,56,0,0,2,267,15,16,0,63.78,22,29.3
2025-09-13,69,88,54,58,0,1,3,268,8,15,0,62.55,1,26.9
2025-09-14,70,89,54,57,0,3,1,267,12,15,0,65.47,2,27.24
2025-09-15,70,89,54,57,0,0,2,270,7,15,0,65.2,0,26.25
2025-09-16,70,90,55,58,0,0,7,273,12,15,0,65.88,2,27.5
2025-09-17,70,90,55,60,0,1,6,274,14,16,0,61.59,1,30.09
2025-09-18,70,90,55,60,0,2,4,273,10,15,0,68.49,2,27.62
2025-09-19,70,90,55,60,0,0,4,275,11,15,0,64.97,0,27.69
2025-09-20,70,90,55,60,0,0,1,275,12,15,0,68.18,0,27.98
2025-09-21,70,90,55,60,0,1,4,274,11,15,0,66.35,2,28.47
2025-09-22,70,90,55,60,0,0,7,275,12,15,0,66.39,3,27.67
2025-09-23,70,90,55,60,0,1,6,274,10,15,0,64.87,3,28.05
2025-09-24,69,89,55,60,0,1,3,272,9,15,0,65.95,1,24.77
2025-09-25,68,87,54,60,0,3,0,266,9,15,0,61.49,1,26.76
2025-09-26,68,87,54,59,0,1,2,267,11,15,0,61.6,1,25.33
2025-09-27,69,88,55,60,0,0,8,272,13,16,0,61.94,2,28.85
2025-09-28,69,88,55,60,0,3,1,269,10,15,0,65.49,0,27.12
2025-09-29,70,89,55,60,0,0,4,274,11,15,0,60.95,2,28.37
2025-09-30,70,89,55,60,0,2,2,272,14,16,0,68.39,0,28.64
2025-10-01,70,89,55,60,1,2,5,272,13,16,0,66.33,4,28.73
2025-10-02,70,89,55,60,1,0,5,274,14,16,0,66.67,2,29.24
2025-10-03,70,90,55,59,0,1,2,273,10,15,0,70.45,1,27.75
2025-10-04,70,90,55,60,0,4,1,271,10,15,0,67.59,1,25.75
2025-10-05,70,90,55,60,0,1,1,274,7,15,0,65.4,3,27.68
2025-10-06,70,90,55,60,0,2,1,273,10,15,0,67.55,0,27.22
2025-10-07,69,89,55,60,1,1,2,272,9,15,0,63.78,0,27.7
2025-10-08,69,89,55,60,0,1,4,272,12,15,0,60.0,2,27.89
2025-10-09,67,87,54,60,3,2,3,266,9,15,0,59.63,6,26.51
2025-10-10,68,88,55,60,0,4,4,267,15,16,0,63.76,2,28.86
2025-10-11,68,88,55,60,1,0,3,271,9,15,0,65.25,1,27.03
2025-10-12,70,90,55,60,0,5,4,270,12,15,0,65.75,1,26.35
2025-10-13,69,89,54,60,0,0,1,272,7,15,0,67.25,1,26.7
2025-10-14,69,89,54,60,1,0,5,272,15,16,0,63.03,2,27.73
2025-10-15,70,90,55,60,0,2,3,273,11,15,0,64.43,1,25.8
2025-10-16,70,90,55,60,1,1,2,274,11,15,0,67.52,3,26.07
2025-10-17,70,90,55,60,0,3,1,272,10,15,0,64.49,3,26.4
2025-10-18,70,90,55,60,0,1,4,274,12,15,0,65.61,2,27.15
2025-10-19,70,90,55,60,0,1,5,274,12,15,0,68.43,2,27.13
2025-10-20,70,90,55,60,1,1,5,274,12,15,0,74.02,4,26.29
2025-10-21,69,89,54,58,2,1,2,269,11,15,0,64.91,2,26.43
2025-10-22,69,89,54,57,0,0,1,269,11,15,0,62.59,1,26.04
2025-10-23,68,87,53,58,0,0,2,266,6,15,0,63.02,0,28.18
2025-10-24,68,87,53,58,0,0,4,266,11,15,0,62.77,0,27.35
2025-10-25,68,87,53,58,0,1,1,265,11,15,0,65.03,1,28.0
2025-10-26,68,87,53,58,0,2,0,264,14,16,0,63.49,1,28.9
2025-10-27,69,89,54,60,0,4,6,268,14,16,0,65.87,3,28.68
2025-10-28,68,88,54,60,1,1,2,269,11,15,0,62.59,3,26.62
2025-10-29,67,86,53,60,0,1,1,265,13,16,0,63.87,1,29.97
2025-10-30,68,87,54,60,3,3,3,266,13,16,0,70.64,5,28.21
2025-10-31,68,87,54,60,0,1,4,268,11,15,0,65.43,1,27.28
2025-11-01,68,87,54,60,0,0,3,269,10,15,0,65.48,0,26.64
2025-11-02,67,86,54,60,0,1,1,266,11,15,0,64.06,1,27.64
2025-11-03,68,87,55,59,0,2,2,267,12,15,0,64.03,2,27.08
2025-11-04,67,86,55,59,0,1,1,266,8,15,0,67.49,2,25.89
2025-11-05,68,87,55,59,0,2,1,267,12,15,0,62.44,2,26.88
2025-11-06,66,84,54,60,0,0,2,264,6,15,0,62.0,3,26.52
2025-11-07,65,82,53,60,0,1,2,259,12,14,0,63.63,1,24.64
2025-11-08,65,82,53,60,0,1,2,259,10,14,0,63.01,2,24.71
2025-11-09,65,82,53,60,0,1,1,259,10,14,0,59.68,0,25.43
2025-11-10,64,80,52,59,0,0,1,255,11,14,0,61.99,3,24.81
2025-11-11,65,81,52,56,0,2,0,252,7,14,0,64.78,2,25.12
2025-11-12,63,78,51,57,0,0,2,249,9,14,0,58.21,2,23.41
2025-11-13,63,78,51,60,0,1,6,251,13,15,0,56.17,0,27.38
2025-11-14,62,77,51,59,0,2,1,247,11,14,0,57.9,0,24.43
2025-11-15,62,77,51,60,0,1,3,249,11,14,0,52.81,2,25.15
2025-11-16,62,77,51,60,0,0,1,250,7,14,0,59.41,0,24.73
2025-11-17,61,76,50,60,0,0,3,247,9,14,0,58.32,1,23.25
2025-11-18,61,76,50,60,0,2,5,245,12,14,0,63.36,2,25.51
2025-11-19,61,76,50,59,0,3,2,243,12,14,0,59.41,1,25.82
2025-11-20,62,77,50,59,0,1,4,247,11,14,0,57.38,1,26.36
2025-11-21,62,77,50,59,0,1,3,247,11,14,0,62.19,3,25.73
2025-11-22,62,77,50,60,0,1,2,248,11,14,0,63.72,2,24.78
2025-11-23,62,77,50,60,0,1,2,248,10,14,0,56.65,1,23.92
2025-11-24,63,78,51,59,0,1,3,250,11,14,0,58.67,4,24.47
2025-11-25,61,75,49,58,0,0,2,243,8,14,0,61.9,0,24.17
2025-11-26,61,75,49,59,0,1,6,243,16,15,0,55.5,2,28.18
2025-11-27,61,75,49,60,0,2,3,243,10,14,0,61.2,2,25.23
2025-11-28,60,74,48,59,0,0,2,241,8,13,0,59.69,1,22.4
2025-11-29,60,74,48,58,0,0,3,240,8,13,0,57.27,1,23.46
2025-11-30,60,74,48,57,0,1,0,238,6,13,0,57.18,1,23.66
2025-12-01,60,74,48,59,0,1,5,240,15,14,0,57.14,1,26.21
2025-12-02,60,74,48,60,0,2,3,240,12,13,0,61.67,1,23.01
2025-12-03,61,76,49,59,0,0,5,245,10,14,0,55.03,0,23.75
2025-12-04,60,75,49,60,1,2,3,242,10,14,0,59.9,3,24.64
2025-12-05,60,75,49,60,0,0,1,244,7,14,0,63.84,2,25.68
2025-12-06,60,75,49,60,0,1,4,243,15,15,0,57.6,1,26.8
2025-12-07,60,75,49,60,0,1,4,243,12,14,0,59.39,1,23.79
2025-12-08,60,75,49,60,0,1,6,243,11,14,0,57.21,1,25.32
2025-12-09,60,75,49,60,0,2,1,242,12,14,0,57.22,1,25.15
2025-12-10,60,75,49,60,0,2,3,242,10,14,0,55.93,2,27.29
2025-12-11,61,76,49,60,0,3,5,243,14,15,0,56.87,3,26.5
2025-12-12,62,77,49,57,0,1,4,244,12,14,0,59.43,1,26.02
2025-12-13,62,77,49,57,0,0,2,245,4,14,0,62.92,1,24.74
2025-12-14,61,76,48,59,0,1,1,243,5,14,0,54.45,0,23.11
2025-12-15,62,77,48,59,0,1,2,245,12,14,0,59.33,0,25.26
2025-12-16,62,77,48,59,0,1,3,245,9,14,0,57.91,0,24.61
2025-12-17,62,77,48,60,0,1,1,246,7,14,0,56.35,1,24.14
2025-12-18,63,79,49,60,0,2,4,249,13,15,0,57.76,0,27.12
2025-12-19,64,80,50,59,0,0,4,253,11,14,0,55.12,1,25.34
2025-12-20,64,80,50,59,1,0,2,253,7,14,0,64.43,3,24.33
2025-12-21,64,80,50,58,0,1,1,251,12,14,0,60.65,1,25.92
2025-12-22,64,80,50,58,0,3,1,249,9,14,0,60.04,1,23.99
2025-12-23,66,82,51,60,0,2,7,257,15,15,0,61.94,1,27.96
2025-12-24,67,84,52,60,0,4,4,259,12,15,0,63.21,3,25.92
2025-12-25,66,83,51,58,0,1,1,257,9,14,0,63.6,0,25.81
2025-12-26,65,82,51,58,0,1,1,255,5,14,0,64.64,2,23.56
2025-12-27,65,82,51,58,0,0,1,256,8,14,0,59.81,1,24.79
2025-12-28,64,81,50,59,0,0,1,254,8,14,0,65.22,1,25.75
2025-12-29,64,81,50,59,0,2,0,252,12,14,0,57.41,0,24.09
2025-12-30,65,82,51,60,0,1,4,257,14,15,0,60.65,1,26.53
2025-12-31,66,84,52,60,0,1,5,261,9,15,0,61.28,1,26.17
2026-01-01,65,83,52,60,0,0,3,260,10,14,0,53.78,1,25.86
2026-01-02,68,87,54,60,1,4,8,265,15,16,0,67.22,6,29.58
2026-01-03,68,87,54,60,0,1,2,268,16,16,0,61.16,1,29.61
2026-01-04,69,88,54,60,1,2,1,269,9,15,0,64.08,2,26.2
2026-01-05,69,88,54,60,0,2,2,269,12,15,0,66.47,2,25.36
2026-01-06,70,90,55,60,0,5,4,270,14,16,0,68.42,1,29.51
2026-01-07,70,90,55,60,0,1,5,274,13,16,0,67.45,3,29.16
2026-01-08,70,90,55,60,0,2,4,273,11,15,0,64.59,4,25.6
2026-01-09,70,90,55,59,0,1,3,273,11,15,0,70.16,0,26.79
2026-01-10,70,90,55,59,0,4,3,270,13,16,0,65.75,3,29.37
2026-01-11,70,90,55,59,0,1,4,273,12,15,0,66.73,3,27.82
2026-01-12,70,90,55,60,0,2,2,273,11,15,0,64.23,2,27.61
2026-01-13,69,88,54,59,0,0,0,270,7,15,0,65.5,3,25.9
2026-01-14,69,88,54,60,0,1,3,270,13,16,0,68.29,1,28.23
2026-01-15,69,88,54,59,0,2,1,268,11,15,0,68.07,0,27.77
2026-01-16,70,89,54,57,1,1,4,269,11,15,0,61.41,4,25.86
2026-01-17,70,90,55,57,1,2,1,270,12,15,0,62.92,1,26.47
2026-01-18,69,88,54,59,0,1,2,269,13,16,0,61.65,0,29.22
2026-01-19,70,89,54,59,0,0,7,272,11,15,0,62.51,3,27.53
2026-01-20,70,89,54,60,0,2,3,271,13,16,0,66.19,1,29.23
2026-01-21,70,89,54,59,0,1,1,271,10,15,0,65.13,0,26.2
2026-01-22,70,90,54,60,1,2,3,272,11,15,0,63.32,3,26.79
2026-01-23,70,90,55,59,0,0,7,274,14,16,0,63.96,2,29.01
2026-01-24,70,90,55,60,0,0,3,275,10,15,0,66.48,2,26.43
2026-01-25,70,90,55,60,1,1,1,274,12,15,0,62.77,1,27.07
2026-01-26,70,90,55,60,0,3,4,272,13,16,0,66.2,2,29.14
2026-01-27,70,90,55,60,0,0,6,275,15,16,0,67.09,0,29.54
2026-01-28,70,90,55,58,0,1,6,272,10,15,0,65.89,2,25.56
2026-01-29,70,90,55,59,0,3,4,271,12,15,0,64.86,1,25.62
2026-01-30,70,90,55,60,0,2,4,273,12,15,0,70.16,2,28.7
2026-01-31,70,90,55,60,0,1,2,274,11,15,0,66.39,0,27.51
2026-02-01,70,90,55,60,0,0,3,275,16,16,0,66.35,1,27.75
2026-02-02,70,90,55,60,0,0,5,275,14,16,0,67.63,2,29.3
2026-02-03,70,90,55,59,0,1,2,273,3,15,0,72.97,2,25.38
2026-02-04,70,90,55,60,0,1,3,274,11,15,0,66.41,3,26.34
2026-02-05,70,90,55,60,0,1,4,274,16,16,0,66.51,1,29.45
2026-02-06,70,90,55,60,0,1,5,274,12,15,0,67.2,2,26.63
2026-02-07,70,90,55,60,0,0,0,275,7,15,0,64.3,0,26.51
2026-02-08,70,90,55,60,0,1,2,274,11,15,0,70.17,2,27.59
2026-02-09,68,87,53,60,0,1,2,267,11,15,0,62.08,0,26.59
2026-02-10,67,86,53,58,0,0,5,264,13,16,0,62.57,2,30.12
2026-02-11,67,86,53,59,0,1,3,264,14,16,0,62.63,1,28.19
2026-02-12,66,85,52,59,0,0,2,262,15,16,0,59.03,0,28.23
2026-02-13,66,85,52,58,0,0,2,261,10,14,0,57.18,0,25.53
2026-02-14,66,85,52,58,0,1,2,260,9,14,0,62.7,0,25.5
2026-02-15,67,86,53,58,0,2,3,262,11,15,0,63.1,3,26.82
2026-02-16,67,86,53,57,0,0,4,263,6,15,0,65.79,2,25.97
2026-02-17,66,85,52,59,0,1,4,261,13,16,0,62.54,0,27.98
2026-02-18,67,86,52,60,0,2,7,263,14,16,0,64.46,1,29.49
2026-02-19,68,88,53,59,0,0,4,268,8,15,0,69.76,1,26.98
2026-02-20,68,88,53,60,0,1,3,268,12,15,0,60.77,0,26.07
2026-02-21,68,88,53,60,0,1,1,268,5,15,0,65.14,0,25.24
2026-02-22,70,90,54,60,0,3,2,271,10,15,0,68.38,1,26.44
2026-02-23,70,90,55,60,0,2,4,273,10,15,0,62.55,1,26.35
2026-02-24,70,90,55,59,0,0,2,274,11,15,0,61.47,2,26.8
2026-02-25,70,90,55,60,1,3,6,272,18,16,0,72.11,1,29.08
2026-02-26,70,90,55,60,0,3,4,272,17,16,0,66.62,1,29.27
2026-02-27,69,89,54,60,0,2,7,270,13,16,0,62.81,2,29.95
2026-02-28,70,90,54,60,0,1,2,273,10,15,0,63.6,3,27.5
2026-03-01,70,90,54,60,0,0,5,274,13,16,0,63.49,1,28.77
2026-03-02,70,90,55,60,0,2,4,273,15,16,0,63.37,1,30.45
2026-03-03,70,90,55,60,0,0,5,275,12,15,0,69.26,1,26.78
2026-03-04,70,90,55,60,0,2,4,273,12,15,0,63.36,1,28.13
2026-03-05,70,90,55,60,0,0,8,275,14,16,0,67.53,17,30.44
2026-03-06,70,90,55,60,0,1,8,274,11,15,0,67.02,14,26.84
2026-03-07,69,89,55,60,0,0,1,273,9,15,0,63.05,17,26.12
2026-03-08,69,89,55,60,0,0,3,273,9,15,0,70.5,14,27.87
2026-03-09,70,90,55,60,0,1,6,274,17,16,0,70.31,19,28.81
2026-03-10,70,90,55,59,0,1,4,273,9,15,0,63.91,16,26.64
2026-03-11,70,90,55,57,1,1,5,271,12,15,0,63.02,21,26.78
2026-03-12,70,90,55,57,0,1,3,271,14,16,0,70.48,21,30.05
2026-03-13,70,90,55,58,1,2,2,271,8,15,0,67.75,2,28.53
2026-03-14,70,90,55,59,0,0,3,274,9,15,0,63.87,1,27.96
2026-03-15,70,90,55,59,0,2,4,272,13,16,0,72.44,3,29.92
